rank,track_artist,peak,prev,streak,streams,track_name,artist_name
1,"Don’t Say You Love Me
Jin",1,1.0,41,562131,Don’t Say You Love Me,Jin
2,"Who
Jimin",1,2.0,84,304418,Who,Jimin
3,"Stateside + Zara Larsson
PinkPantheress, Zara Larsson",3,17.0,8,227016,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson"
4,"So Easy (To Fall In Love)
Olivia Dean",4,5.0,22,226503,So Easy (To Fall In Love),Olivia Dean
5,"The Fate of Ophelia
Taylor Swift",2,4.0,21,225264,The Fate of Ophelia,Taylor Swift
6,"back to friends
sombr",4,8.0,51,189540,back to friends,sombr
7,"Golden
HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",2,6.0,36,185579,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
8,"End of Beginning
Djo",3,9.0,26,182899,End of Beginning,Djo
9,"DtMF
Bad Bunny",3,3.0,4,172558,DtMF,Bad Bunny
10,"Jumping Machine (跳楼机)
LBI利比",1,12.0,56,169128,Jumping Machine (跳楼机),LBI利比
11,"Man I Need
Olivia Dean",10,10.0,27,166633,Man I Need,Olivia Dean
12,"Running Wild
Jin",1,30.0,9,166625,Running Wild,Jin
13,"Opalite
Taylor Swift",3,11.0,21,163706,Opalite,Taylor Swift
14,"Who Knows
Daniel Caesar",12,13.0,18,157369,Who Knows,Daniel Caesar
15,"bittersweet
Madison Beer",8,15.0,19,153875,bittersweet,Madison Beer
16,"Die On This Hill
SIENNA SPIRO",8,14.0,11,153566,Die On This Hill,SIENNA SPIRO
17,"看着我的眼睛说
张远",7,16.0,39,145024,看着我的眼睛说,张远
18,"like JENNIE
JENNIE",2,21.0,51,137481,like JENNIE,JENNIE
19,"Raindance (feat. Tems)
Dave, Tems",19,22.0,10,133247,Raindance (feat. Tems),"Dave, Tems"
20,"福气马上来
1119",7,7.0,4,132310,福气马上来,1119
21,"BANG BANG
IVE",21,25.0,3,132162,BANG BANG,IVE
22,"WHERE IS MY HUSBAND!
RAYE",12,24.0,23,131773,WHERE IS MY HUSBAND!,RAYE
23,"Die With A Smile
Lady Gaga, Bruno Mars",1,20.0,80,130667,Die With A Smile,"Lady Gaga, Bruno Mars"
24,"Seven (feat. Latto) (Explicit Ver.)
Jung Kook, Latto",1,38.0,137,130639,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto"
25,"BIRDS OF A FEATHER
Billie Eilish",1,18.0,93,128402,BIRDS OF A FEATHER,Billie Eilish
26,"Gabriela
KATSEYE",5,23.0,36,127647,Gabriela,KATSEYE
27,"Homewrecker
sombr",27,29.0,3,124772,Homewrecker,sombr
28,"Lush Life
Zara Larsson",13,19.0,12,124410,Lush Life,Zara Larsson
29,"Ordinary
Alex Warren",16,26.0,50,118275,Ordinary,Alex Warren
30,"Love Me Not
Ravyn Lenae",18,32.0,49,117390,Love Me Not,Ravyn Lenae
31,"I Just Might
Bruno Mars",7,35.0,7,116879,I Just Might,Bruno Mars
32,"Drag Path
Twenty One Pilots",32,,1,113206,Drag Path,Twenty One Pilots
33,"I Thought I Saw Your Face Today
She & Him",27,28.0,12,113146,I Thought I Saw Your Face Today,She & Him
34,"Dracula - JENNIE Remix
Tame Impala, JENNIE",34,58.0,3,109673,Dracula - JENNIE Remix,"Tame Impala, JENNIE"
35,"APT.
ROSÉ, Bruno Mars",1,31.0,71,109438,APT.,"ROSÉ, Bruno Mars"
36,"Good Goodbye
HWASA",8,39.0,14,109210,Good Goodbye,HWASA
37,"The Man Who Can't Be Moved
The Script",37,41.0,17,108739,The Man Who Can't Be Moved,The Script
38,"RUDE!
Hearts2Hearts",38,,1,104240,RUDE!,Hearts2Hearts
39,"JUMP
BLACKPINK",2,43.0,33,102689,JUMP,BLACKPINK
40,"WILDFLOWER
Billie Eilish",11,42.0,93,102467,WILDFLOWER,Billie Eilish
41,"About You
The 1975",41,48.0,94,102196,About You,The 1975
42,"NOT CUTE ANYMORE
ILLIT",8,37.0,14,101919,NOT CUTE ANYMORE,ILLIT
43,"像晴天像雨天（电视剧《难哄》心动曲）
Silence Wang",4,45.0,52,100975,像晴天像雨天（电视剧《难哄》心动曲）,Silence Wang
44,"善后
马师傅",31,52.0,26,99121,善后,马师傅
45,"CHANEL
Tyla",5,40.0,17,98801,CHANEL,Tyla
46,"That’s So True
Gracie Abrams",4,44.0,71,97463,That’s So True,Gracie Abrams
47,"嘉賓
张远",16,49.0,77,93921,嘉賓,张远
48,"Sailor Song
Gigi Perez",9,50.0,81,93455,Sailor Song,Gigi Perez
49,"擱淺
Jay Chou",24,59.0,98,93020,擱淺,Jay Chou
50,"DAISIES
Justin Bieber",11,47.0,33,92193,DAISIES,Justin Bieber
51,"Manchild
Sabrina Carpenter",5,46.0,38,90474,Manchild,Sabrina Carpenter
52,"NO BATIDÃO
ZXKAI, slxughter",52,53.0,7,88345,NO BATIDÃO,"ZXKAI, slxughter"
53,"Folded
Kehlani",29,51.0,37,86603,Folded,Kehlani
54,"Iris
The Goo Goo Dolls",39,54.0,56,85805,Iris,The Goo Goo Dolls
55,"離開我的依賴
Evangeline Wong",52,81.0,22,85614,離開我的依賴,Evangeline Wong
56,"Tití Me Preguntó
Bad Bunny",27,27.0,3,83103,Tití Me Preguntó,Bad Bunny
57,"Yellow
Coldplay",1,60.0,270,82768,Yellow,Coldplay
58,"Fame is a Gun
Addison Rae",47,57.0,11,82505,Fame is a Gun,Addison Rae
59,"toxic till the end
ROSÉ",4,65.0,64,82301,toxic till the end,ROSÉ
60,"we can't be friends (wait for your love)
Ariana Grande",1,62.0,103,81530,we can't be friends (wait for your love),Ariana Grande
61,"luther (with sza)
Kendrick Lamar, SZA",2,55.0,66,81299,luther (with sza),"Kendrick Lamar, SZA"
62,"No One Noticed
The Marías",23,61.0,70,80450,No One Noticed,The Marías
63,"One Of The Girls (with JENNIE, Lily Rose Depp)
The Weeknd, JENNIE, Lily-Rose Depp",6,63.0,140,80331,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp"
64,"晴天
Jay Chou",33,66.0,80,80249,晴天,Jay Chou
65,"爱怎么了
陈村长",32,91.0,94,79850,爱怎么了,陈村长
66,"这是你期盼的长大吗
ZQS",42,103.0,56,78701,这是你期盼的长大吗,ZQS
67,"Just Keep Watching (From F1® The Movie)
Tate McRae, F1 The Album",13,68.0,39,78211,Just Keep Watching (From F1® The Movie),"Tate McRae, F1 The Album"
68,"Espresso
Sabrina Carpenter",1,67.0,98,77449,Espresso,Sabrina Carpenter
69,"在加納共和國離婚
Firdhaus, DIOR 大穎",20,92.0,98,77161,在加納共和國離婚,"Firdhaus, DIOR 大穎"
70,"NUEVAYoL
Bad Bunny",32,34.0,3,77002,NUEVAYoL,Bad Bunny
71,"Night Changes
One Direction",10,69.0,222,76717,Night Changes,One Direction
72,"blue
yung kai",4,72.0,71,74939,blue,yung kai
73,"Ghost
Justin Bieber",1,77.0,232,74089,Ghost,Justin Bieber
74,"Winter Ahead (with PARK HYO SHIN)
V, Park Hyo Shin",17,70.0,65,73863,Winter Ahead (with PARK HYO SHIN),"V, Park Hyo Shin"
75,"Babydoll
Dominic Fike",75,143.0,2,73650,Babydoll,Dominic Fike
76,"Sweet Boy
Malcolm Todd",76,82.0,27,73569,Sweet Boy,Malcolm Todd
77,"That's What I Like
Bruno Mars",3,78.0,19,73561,That's What I Like,Bruno Mars
78,"Cruel Summer
Taylor Swift",1,74.0,154,73353,Cruel Summer,Taylor Swift
79,"Moonwalkin'
LNGSHOT",19,73.0,6,73235,Moonwalkin',LNGSHOT
80,"人的這一生
DIOR 大穎",80,,1,72305,人的這一生,DIOR 大穎
81,"Eenie Meenie - Radio Version
Sean Kingston, Justin Bieber",57,71.0,9,72284,Eenie Meenie - Radio Version,"Sean Kingston, Justin Bieber"
82,"E85
Don Toliver",82,125.0,2,71960,E85,Don Toliver
83,"number one girl
ROSÉ",5,97.0,66,71051,number one girl,ROSÉ
84,"Sienna
The Marías",45,89.0,29,70447,Sienna,The Marías
85,"From The Start
Laufey",25,84.0,29,70212,From The Start,Laufey
86,"Payphone
Maroon 5, Wiz Khalifa",20,86.0,264,69503,Payphone,"Maroon 5, Wiz Khalifa"
87,"Just the Way You Are
Bruno Mars",11,76.0,270,69402,Just the Way You Are,Bruno Mars
88,"All The Stars (with SZA) - From ""Black Panther: The Album""
Kendrick Lamar, SZA",1,80.0,63,68705,"All The Stars (with SZA) - From ""Black Panther: The Album""","Kendrick Lamar, SZA"
89,"Multo
Cup of Joe",38,99.0,46,68158,Multo,Cup of Joe
90,"Style
Taylor Swift",5,83.0,9,68108,Style,Taylor Swift
91,"Photograph
Ed Sheeran",27,96.0,26,67844,Photograph,Ed Sheeran
92,"Sparks
Coldplay",17,100.0,38,67822,Sparks,Coldplay
93,"We Don't Talk Anymore (feat. Selena Gomez)
Charlie Puth, Selena Gomez",20,93.0,23,67745,We Don't Talk Anymore (feat. Selena Gomez),"Charlie Puth, Selena Gomez"
94,"Love Me Harder
Ariana Grande, The Weeknd",94,105.0,9,67663,Love Me Harder,"Ariana Grande, The Weeknd"
95,"No Broke Boys
Disco Lines, Tinashe",45,114.0,30,67257,No Broke Boys,"Disco Lines, Tinashe"
96,"你，好不好？ - TVBS連續劇【遺憾拼圖】片尾曲
Eric Chou",23,110.0,479,66442,你，好不好？ - TVBS連續劇【遺憾拼圖】片尾曲,Eric Chou
97,"最后一页 - Live
王赫野, 姚晓棠",80,129.0,48,66247,最后一页 - Live,"王赫野, 姚晓棠"
98,"Somewhere Only We Know
Keane",56,98.0,61,66078,Somewhere Only We Know,Keane
99,"Soft Spot
keshi",10,118.0,76,65856,Soft Spot,keshi
100,"Viva La Vida
Coldplay",1,94.0,182,65582,Viva La Vida,Coldplay
101,"Every Breath You Take
The Police",44,85.0,21,65319,Every Breath You Take,The Police
102,"A Couple Minutes
Olivia Dean",101,101.0,15,64813,A Couple Minutes,Olivia Dean
103,"Good Luck, Babe!
Chappell Roan",4,117.0,97,64605,"Good Luck, Babe!",Chappell Roan
104,"Soda Pop
Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",4,64.0,36,64472,Soda Pop,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast"
105,"Closer
The Chainsmokers, Halsey",1,113.0,73,64435,Closer,"The Chainsmokers, Halsey"
106,"12 to 12
sombr",71,120.0,27,64310,12 to 12,sombr
107,"Beautiful Things
Benson Boone",9,121.0,109,63963,Beautiful Things,Benson Boone
108,"Apocalypse
Cigarettes After Sex",28,102.0,137,63624,Apocalypse,Cigarettes After Sex
109,"Always
Daniel Caesar",76,108.0,22,63034,Always,Daniel Caesar
110,"SLOW DANCING IN THE DARK
Joji",27,115.0,4,62815,SLOW DANCING IN THE DARK,Joji
111,"SPAGHETTI
LE SSERAFIM, j-hope",11,106.0,18,62692,SPAGHETTI,"LE SSERAFIM, j-hope"
112,"座位
于冬然",32,141.0,37,62665,座位,于冬然
113,"Best Part (feat. H.E.R.)
Daniel Caesar, H.E.R.",87,107.0,4,62417,Best Part (feat. H.E.R.),"Daniel Caesar, H.E.R."
114,"Something Just Like This
The Chainsmokers, Coldplay",1,119.0,471,61846,Something Just Like This,"The Chainsmokers, Coldplay"
115,"Sports car
Tate McRae",14,132.0,57,61426,Sports car,Tate McRae
116,"It Will Rain
Bruno Mars",35,111.0,25,61282,It Will Rain,Bruno Mars
117,"Beauty And A Beat
Justin Bieber, Nicki Minaj",91,112.0,25,61090,Beauty And A Beat,"Justin Bieber, Nicki Minaj"
